All Companies,Screener,Symbol,Lot Size (Feb 2026),Lot Size (Mar 2026),Lot Size (Apr 2026)
Nifty Bank,https://scanx.trade/company/banknifty,BANKNIFTY,30,30,30
Finnifty,https://scanx.trade/company/finnifty,FINNIFTY,60,60,60
Nifty Midcap Select,https://scanx.trade/company/midcpnifty,MIDCPNIFTY,120,120,120
Nifty 50,https://scanx.trade/company/nifty,NIFTY,65,65,65
Nifty Next 50,https://scanx.trade/company/niftynxt50,NIFTYNXT50,25,25,25
360 One WAM,https://scanx.trade/company/360one,360ONE,500,500,500
ABB,https://scanx.trade/company/abb,ABB,125,125,125
Aditya Birla Capital,https://scanx.trade/company/abcapital,ABCAPITAL,3100,3100,3100
Adani Energy Solutions,https://scanx.trade/company/adaniensol,ADANIENSOL,675,675,675
Adani Enterprises,https://scanx.trade/company/adanient,ADANIENT,309,309,309
Adani Green Energy,https://scanx.trade/company/adanigreen,ADANIGREEN,600,600,600
Adani Ports & SEZ,https://scanx.trade/company/adaniports,ADANIPORTS,475,475,475
Adani Power,https://scanx.trade/company/adanipower,ADANIPOWER,3550,3550,3550
Alkem Laboratories,https://scanx.trade/company/alkem,ALKEM,125,125,125
Amber Enterprises,https://scanx.trade/company/amber,AMBER,100,100,100
Ambuja Cements,https://scanx.trade/company/ambujacem,AMBUJACEM,1050,1050,1050
Angel One,https://scanx.trade/company/angelone,ANGELONE,2500,2500,2500
APL Apollo Tubes,https://scanx.trade/company/aplapollo,APLAPOLLO,350,350,350
Apollo Hospitals,https://scanx.trade/company/apollohosp,APOLLOHOSP,125,125,125
Ashok Leyland,https://scanx.trade/company/ashokley,ASHOKLEY,5000,5000,5000
Asian Paints,https://scanx.trade/company/asianpaint,ASIANPAINT,250,250,250
Astral,https://scanx.trade/company/astral,ASTRAL,425,425,425
AU Small Finance Bank,https://scanx.trade/company/aubank,AUBANK,1000,1000,1000
Aurobindo Pharma,https://scanx.trade/company/auropharma,AUROPHARMA,550,550,550
Axis Bank,https://scanx.trade/company/axisbank,AXISBANK,625,625,625
Bajaj Auto,https://scanx.trade/company/bajaj-auto,BAJAJ-AUTO,75,75,75
Bajaj Finserv,https://scanx.trade/company/bajajfinsv,BAJAJFINSV,250,250,250
Bajaj Holdings,https://scanx.trade/company/bajajhldng,BAJAJHLDNG,50,50,50
Bajaj Finance,https://scanx.trade/company/bajfinance,BAJFINANCE,750,750,750
Bandhan Bank,https://scanx.trade/company/bandhanbnk,BANDHANBNK,3600,3600,3600
